"DataSet","Year","Pop_Name","CU_Name","SpnForAbd_Total","SpnForTrend_Total","SpnForTrend_Wild","SpnForAbd_Wild","Recruits_Total","Recruits_Wild","Pop_ID","CU_ID","DU_ID"
"Sk_Fraser",1938,"Early Nadina River","Francois (First Run) - Early Summer (extirpated?)",54,24,24,54,NA,NA,NA,NA,NA
"Sk_Fraser",1938,"Endako River","Nadina-Francois - Early Summer",117,62,62,117,NA,NA,NA,NA,NA
"Sk_Fraser",1938,"Francois Lake","Francois-Fraser - Summer",0,0,0,0,NA,NA,45806,"L-06-07",NA
"Sk_Fraser",1938,"Late Nadina River","Nadina-Francois - Early Summer",0,0,0,0,NA,NA,45525,"L-06-20",NA
"Sk_Fraser",1938,"Nithi River","Francois-Fraser - Summer",90,47,47,90,NA,NA,45522,"L-06-07",NA
"Sk_Fraser",1938,"Ormond Creek","Francois-Fraser - Summer",11,6,6,11,NA,NA,NA,NA,NA
"Sk_Fraser",1938,"Stellako River","Francois-Fraser - Summer",6943,3477,3477,6943,NA,NA,46013,"L-06-07",NA
"Sk_Fraser",1938,"Uncha Creek","Francois-Fraser - Summer",0,0,0,0,NA,NA,45523,"L-06-07",NA
"Sk_Fraser",1938,"Barriere River","Kamloops - Summer",0,0,0,0,NA,NA,46600,"L-10-01",NA
"Sk_Fraser",1938,"Barriere River, upper","North Barriere - Early Summer",0,0,0,0,NA,NA,3416,"L-10-03",NA
"Sk_Fraser",1938,"Clearwater River","Kamloops - Summer",0,0,0,0,NA,NA,46680,"L-10-01",NA
"Sk_Fraser",1938,"Finn Creek","Kamloops - Summer",0,0,0,0,NA,NA,46782,"L-10-01",NA
"Sk_Fraser",1938,"Lion Creek","Kamloops - Summer",0,0,0,0,NA,NA,45601,"L-06-14",NA
"Sk_Fraser",1938,"Lion Creek","Kamloops - Summer",0,0,0,0,NA,NA,46772,"L-10-01",NA
"Sk_Fraser",1938,"North Thompson River","Kamloops - Summer",0,0,0,0,NA,NA,46580,"L-10-01",NA
"Sk_Fraser",1938,"Raft River","Kamloops - Summer",587,274,274,587,NA,NA,46710,"L-10-01",NA
"Sk_Fraser",1938,"Horsefly River","Quesnel - Summer",0,0,0,0,NA,NA,46893,"L-06-10",NA
"Sk_Fraser",1938,"Little Horsefly River","Quesnel - Summer",0,0,0,0,NA,NA,46903,"L-06-10",NA
"Sk_Fraser",1938,"McKinley Creek","Quesnel - Summer",0,0,0,0,NA,NA,45043,"L-06-10",NA
"Sk_Fraser",1938,"Mitchell River","Quesnel - Summer",0,0,0,0,NA,NA,46913,"L-06-10",NA
"Sk_Fraser",1938,"Quesnel River","Middle Fraser - Summer",4,0,0,4,NA,NA,46873,"L-06-10",NA
"Sk_Fraser",1938,"Roaring River","Quesnel - Summer",0,0,0,0,NA,NA,45063,"L-06-10",NA
"Sk_Fraser",1938,"Cayoosh Creek","Middle Fraser - Summer",0,0,0,0,NA,NA,NA,NA,NA
"Sk_Fraser",1938,"Gates Creek","Anderson-Seton - Early Summer",13,5,5,13,NA,NA,NA,NA,NA
"Sk_Fraser",1938,"Portage Creek","Seton - Late",56,27,27,56,NA,NA,47181,"L-06-11",NA
"Sk_Fraser",1938,"Seton Creek","Middle Fraser - Summer",162,41,41,162,NA,NA,NA,NA,NA
"Sk_Fraser",1938,"Bowron River, upper","Bowron - Early Summer",2205,974,974,2205,NA,NA,47419,"L-07-01",NA
"Sk_Fraser",1939,"Chilko River","Chilko - Summer",2000,833,833,2000,NA,NA,46843,"L-06-03",NA
"Sk_Fraser",1939,"S. End Chilko Lake","Chilko - Early Summer",0,0,0,0,NA,NA,45081,"L-06-02",NA
"Sk_Fraser",1939,"Taseko Lake","Taseko - Early Summer",0,0,0,0,NA,NA,46853,"L-06-16",NA
"Sk_Fraser",1939,"Adams River, upper","Shuswap - Early Summer",0,0,0,0,NA,NA,46249,"L-09-03",NA
"Sk_Fraser",1939,"Anstey River","Shuswap - Early Summer",0,0,0,0,NA,NA,46348,"L-09-02",NA
"Sk_Fraser",1939,"Anstey River","Shuswap - Early Summer",0,0,0,0,NA,NA,46349,"L-09-03",NA
"Sk_Fraser",1939,"Eagle River","Shuswap - Early Summer",0,0,0,0,NA,NA,46358,"L-09-02",NA
"Sk_Fraser",1939,"Eagle River","Shuswap - Early Summer",0,0,0,0,NA,NA,46359,"L-09-03",NA
"Sk_Fraser",1939,"McNomee Creek","Shuswap - Early Summer",0,0,0,0,NA,NA,45014,"L-09-02",NA
"Sk_Fraser",1939,"McNomee Creek","Shuswap - Early Summer",0,0,0,0,NA,NA,45015,"L-09-03",NA
"Sk_Fraser",1939,"Middle Shuswap River","Shuswap - Early Summer",6,3,3,6,NA,NA,46439,"L-09-02",NA
