"","CU_ID","Species","Stock","Label","Year","Metric","Compare","LBM","UBM","Value","Status"
"154","CK-08","Chinook","Middle Fraser-Fraser Canyon_SP_1.3","SpnForTrend_Wild",2018,"ProbDeclBelowLBM",0.0333,NA,NA,0.0333,NA
"155","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForAbd_Wild",2015,"RelUBM",NA,79.776963665811,128.220640492901,NA,NA
"156","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForAbd_Wild",2016,"RelUBM",NA,60.0635955507258,119.997271927499,NA,NA
"157","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForAbd_Wild",2017,"RelUBM",NA,59.7057571883534,119.621138547402,NA,NA
"158","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForAbd_Wild",2018,"RelUBM",NA,57.537088935396,119.245005167305,NA,NA
"159","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForAbd_Wild",2015,"AbsUBM",NA,1000,10000,NA,NA
"160","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForAbd_Wild",2016,"AbsUBM",NA,1000,10000,NA,NA
"161","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForAbd_Wild",2017,"AbsUBM",NA,1000,10000,NA,NA
"162","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForAbd_Wild",2018,"AbsUBM",NA,1000,10000,NA,NA
"163","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForAbd_Wild",2015,"RelLBM",NA,79.776963665811,128.220640492901,NA,NA
"164","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForAbd_Wild",2016,"RelLBM",NA,60.0635955507258,119.997271927499,NA,NA
"165","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForAbd_Wild",2017,"RelLBM",NA,59.7057571883534,119.621138547402,NA,NA
"166","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForAbd_Wild",2018,"RelLBM",NA,57.537088935396,119.245005167305,NA,NA
"167","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForAbd_Wild",2015,"AbsLBM",NA,1000,10000,NA,NA
"168","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForAbd_Wild",2016,"AbsLBM",NA,1000,10000,NA,NA
"169","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForAbd_Wild",2017,"AbsLBM",NA,1000,10000,NA,NA
"170","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForAbd_Wild",2018,"AbsLBM",NA,1000,10000,NA,NA
"171","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForTrend_Wild",2015,"LongTrend",NA,0.5,0.75,NA,NA
"172","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForTrend_Wild",2016,"LongTrend",NA,0.5,0.75,NA,NA
"173","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForTrend_Wild",2017,"LongTrend",NA,0.5,0.75,NA,NA
"174","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForTrend_Wild",2018,"LongTrend",NA,0.5,0.75,NA,NA
"175","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForTrend_Wild",2015,"PercChange",-74.3232,-25,-15,-74.3232,"Red"
"176","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForTrend_Wild",2016,"PercChange",-78.6265,-25,-15,-78.6265,"Red"
"177","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForTrend_Wild",2017,"PercChange",-82.2457,-25,-15,-82.2457,"Red"
"178","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForTrend_Wild",2018,"PercChange",-85.2241,-25,-15,-85.2241,"Red"
"179","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForTrend_Wild",2015,"ProbDeclBelowLBM",0.0333,NA,NA,0.0333,NA
"180","CK-09","Chinook","Middle Fraser River-Portage_FA_1.3","SpnForTrend_Wild",2016,"ProbDeclBelowLBM",0.0333,NA,NA,0.0333,NA
