Base.Unit.CU.ID,Base.Unit.CU.ShortName,Year,Metric,Value
SEL-L-06-01,Anderson_Seton_ES,2017,Upper.Bench,22534
SEL-L-06-03,Chilko_S_ES,2017,Upper.Bench,379320.9132
SEL-L-06-07,Fran_Fras_S,2017,Upper.Bench,122611.8536
SEL-L-03-02,Cultus_L,2017,Upper.Bench,30642.362
SEL-L-06-11,Seton-L,2017,Upper.Bench,13452.62567
SEL-L-03-04,Harrison_US_L,2017,Upper.Bench,84596.663
SER-R02,Widgeon_RT,2017,Upper.Bench,
SEL-L-04-01,Lillooet_Harr_L,2017,Upper.Bench,76930.38899
SEL-L-03-03,Harrison_DS_L,2017,Upper.Bench,
SEL-L-09-02,Shuswap_ES,2017,Upper.Bench,141746
SEL-L-06-14,Takla_Trem_Estu,2017,Upper.Bench,376174
SEL-L-06-10,Quesnel_S,2017,Upper.Bench,1337891
SEL-L-06-13,Takla_Trem_S_S,2017,Upper.Bench,622626
SEL-L-09-03,Shuswap_L,2017,Upper.Bench,1794869
SER-R03,Harrison_RT,2017,Upper.Bench,122164.9808
SEL-L-03-05,Pitt_ES,2012,Upper.Bench,22000
SEL-L-06-20,Nadina_Francois_ES,2012,Upper.Bench,58000
SEL-L-10-01,Kamloops_ES,2012,Upper.Bench,23000
SEL-L-07-01,Bowron_ES,2012,Upper.Bench,17000
SEL-L-10-03,North_Barriere_ES,2012,Upper.Bench,5000
SEL-L-05-02,Nahatlatch_ES,2012,Upper.Bench,
SEL-L-06-16,Taseko_ES,2012,Upper.Bench,
SEL-L-03-01,Chilliwack_ES,2012,Upper.Bench,16000
SEL-L-06-01,Anderson_Seton_ES,2012,Upper.Bench,19000
SEL-L-06-03,Chilko_S_ES,2012,Upper.Bench,273000
SEL-L-06-07,Fran_Fras_S,2012,Upper.Bench,195000
SEL-L-03-02,Cultus_L,2012,Upper.Bench,32000
SEL-L-06-11,Seton-L,2012,Upper.Bench,8000
SEL-L-03-04,Harrison_US_L,2012,Upper.Bench,76000
SER-R02,Widgeon_RT,2012,Upper.Bench,
SEL-L-04-01,Lillooet_Harr_L,2012,Upper.Bench,77000
SEL-L-03-03,Harrison_DS_L,2012,Upper.Bench,
SEL-L-09-02,Shuswap_ES,2012,Upper.Bench,141746
SEL-L-06-14,Takla_Trem_Estu,2012,Upper.Bench,376174
SEL-L-06-10,Quesnel_S,2012,Upper.Bench,1337891
SEL-L-06-13,Takla_Trem_S_S,2012,Upper.Bench,622626
SEL-L-09-03,Shuswap_L,2012,Upper.Bench,1794869
SER-R03,Harrison_RT,2012,Upper.Bench,32000
SEL-L-03-05,Pitt_ES,2017,Recent.Total,50870
SEL-L-06-20,Nadina_Francois_ES,2017,Recent.Total,29733
SEL-L-10-01,Kamloops_ES,2017,Recent.Total,12823
SEL-L-07-01,Bowron_ES,2017,Recent.Total,4539
SEL-L-10-03,North_Barriere_ES,2017,Recent.Total,4224
SEL-L-05-02,Nahatlatch_ES,2017,Recent.Total,2444
SEL-L-06-16,Taseko_ES,2017,Recent.Total,312
SEL-L-03-01,Chilliwack_ES,2017,Recent.Total,35598
SEL-L-06-01,Anderson_Seton_ES,2017,Recent.Total,21172
SEL-L-06-03,Chilko_S_ES,2017,Recent.Total,755502
SEL-L-06-07,Fran_Fras_S,2017,Recent.Total,182228
SEL-L-03-02,Cultus_L,2017,Recent.Total,1098
SEL-L-06-11,Seton-L,2017,Recent.Total,7149
SEL-L-03-04,Harrison_US_L,2017,Recent.Total,13329
SER-R02,Widgeon_RT,2017,Recent.Total,645
SEL-L-04-01,Lillooet_Harr_L,2017,Recent.Total,40151
SEL-L-03-03,Harrison_DS_L,2017,Recent.Total,4699
SEL-L-09-02,Shuswap_ES,2017,Recent.Total,105619
